scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
27.08,13558519,True,,27.08,True
16.94,13563111,True,,16.94,True
15.42,13573137,True,,15.42,True
12.08,13605954,True,,12.08,True
11.94,13562090,True,,11.94,True
11.25,14425518,True,,11.25,True
10.42,13558918,True,,10.42,True
10.28,13596133,True,,10.28,True
9.44,14479033,True,,9.44,True
7.92,14244950,True,,7.92,True
7.50,13829002,True,,7.50,True
7.50,13937287,True,,7.50,True
7.08,13658903,True,,7.08,True
6.67,14252311,True,,6.67,True
5.83,13764563,True,,5.83,True
5.83,13595892,True,,5.83,True
5.42,13643917,True,,5.42,True
5.42,13576666,True,,5.42,True
5.42,13604938,True,,5.42,True
5.00,13558508,True,,5.00,True
5.00,13560097,True,,5.00,True
5.00,13573274,True,,5.00,True
5.00,13668446,True,,5.00,True
5.00,13864244,True,,5.00,True
5.00,14256313,True,,5.00,True
5.00,14247226,True,,5.00,True
5.00,13560871,True,,5.00,True
5.00,13579769,True,,5.00,True
5.00,14085160,True,,5.00,True
5.00,13558429,True,,5.00,True
5.00,13974694,True,,5.00,True
5.00,13899417,True,,5.00,True
5.00,14448343,True,,5.00,True
5.00,13572146,True,,5.00,True
5.00,13558329,True,,5.00,True
5.00,14429327,True,,5.00,True
5.00,13599199,True,,5.00,True
5.00,13710587,True,,5.00,True
5.00,14269025,True,,5.00,True
5.00,14152318,True,,5.00,True
4.58,13663673,True,,4.58,True
4.58,13558770,True,,4.58,True
4.58,14068272,True,,4.58,True
4.58,14181548,True,,4.58,True
4.58,13652093,True,,4.58,True
4.58,14223689,True,,4.58,True
4.58,13561856,True,,4.58,True
4.58,13559572,True,,4.58,True
4.58,13955589,True,,4.58,True
4.58,13620890,True,,4.58,True
4.58,14019966,True,,4.58,True
4.58,14527753,True,,4.58,True
4.58,14010989,True,,4.58,True
4.58,13605143,True,,4.58,True
4.17,13560576,True,,4.17,True
4.17,13560701,True,,4.17,True
4.17,13579837,True,,4.17,True
4.17,13563857,True,,4.17,True
4.17,13558618,True,,4.17,True
4.17,13563016,True,,4.17,True
4.17,13560004,True,,4.17,True
4.17,13563905,True,,4.17,True
4.17,13589808,True,,4.17,True
4.17,13558453,True,,4.17,True
4.17,13617885,True,,4.17,True
4.17,13565993,True,,4.17,True
4.17,13559002,True,,4.17,True
4.17,13558837,True,,4.17,True
4.17,13718189,True,,4.17,True
4.17,13573753,True,,4.17,True
4.17,13661189,True,,4.17,True
4.17,13558350,True,,4.17,True
4.17,14221700,True,,4.17,True
4.17,13587160,True,,4.17,True
4.17,13594623,True,,4.17,True
4.17,13559261,True,,4.17,True
4.17,13802735,True,,4.17,True
4.17,13832355,True,,4.17,True
4.17,13763304,True,,4.17,True
4.17,13768667,True,,4.17,True
4.17,13561146,True,,4.17,True
4.17,13591410,True,,4.17,True
4.17,13560397,True,,4.17,True
4.17,13899669,True,,4.17,True
4.17,13879888,True,,4.17,True
4.17,13874536,True,,4.17,True
4.17,13903801,True,,4.17,True
4.17,13614272,True,,4.17,True
4.17,13569895,True,,4.17,True
4.17,13667688,True,,4.17,True
4.17,13560404,True,,4.17,True
4.17,13563600,True,,4.17,True
4.17,13559515,True,,4.17,True
4.17,13700488,True,,4.17,True
4.17,13773256,True,,4.17,True
4.17,14005848,True,,4.17,True
4.17,13838269,True,,4.17,True
4.17,13637383,True,,4.17,True
4.17,13799015,True,,4.17,True
4.17,13575675,True,,4.17,True
4.17,13561330,True,,4.17,True
4.17,13578817,True,,4.17,True
4.17,13558742,True,,4.17,True
4.17,13692270,True,,4.17,True
4.17,13678281,True,,4.17,True
4.17,13631556,True,,4.17,True
4.17,13566765,True,,4.17,True
4.17,13889308,True,,4.17,True
4.17,13923633,True,,4.17,True
